Prediction Frame,Prediction 3,Groundtruth Frame,Groundtruth 3
0.0,993785.9316695925,0.0,992082.5543
11.0,991427.8367329609,1.0101010101010102,992082.5543
22.0,991375.3268702865,2.0202020202020203,992082.5543
33.0,990837.5738397,3.0303030303030303,992082.5543
44.0,988826.1149559931,4.040404040404041,992082.5543
56.0,987691.5944320397,5.050505050505051,992082.5543
67.0,988622.2844417605,6.0606060606060606,992082.5543
78.0,989533.6380493478,7.070707070707071,992082.5543
89.0,990140.9903010691,8.080808080808081,992082.5543
100.0,990640.4844564863,9.090909090909092,992082.5543
,,10.101010101010102,992082.5543
,,11.111111111111112,992082.5543
,,12.121212121212121,992082.5543
,,13.131313131313131,992082.5543
,,14.141414141414142,992082.5543
,,15.151515151515152,992082.5543
,,16.161616161616163,992082.5543
,,17.171717171717173,992082.5543
,,18.181818181818183,992082.5543
,,19.191919191919194,992082.5543
,,20.202020202020204,992082.5543
,,21.212121212121215,992082.5543
,,22.222222222222225,992082.5543
,,23.232323232323235,992082.5543
,,24.242424242424242,992082.5543
,,25.252525252525253,992082.5543
,,26.262626262626263,992082.5543
,,27.272727272727273,992082.5543
,,28.282828282828284,992082.5543
,,29.292929292929294,992082.5543
,,30.303030303030305,992082.5543
,,31.313131313131315,992082.5543
,,32.323232323232325,992082.5543
,,33.333333333333336,992082.5543
,,34.343434343434346,992082.5543
,,35.35353535353536,992082.5543
,,36.36363636363637,992082.5543
,,37.37373737373738,992082.5543
,,38.38383838383839,992082.5543
,,39.3939393939394,992082.5543
,,40.40404040404041,992082.5543
,,41.41414141414142,992082.5543
,,42.42424242424243,992082.5543
,,43.43434343434344,992082.5543
,,44.44444444444445,992082.5543
,,45.45454545454546,992082.5543
,,46.46464646464647,992082.5543
,,47.47474747474748,992082.5543
,,48.484848484848484,992082.5543
,,49.494949494949495,992082.5543
,,50.505050505050505,992082.5543
,,51.515151515151516,992082.5543
,,52.525252525252526,992082.5543
,,53.535353535353536,992082.5543
,,54.54545454545455,992082.5543
,,55.55555555555556,992082.5543
,,56.56565656565657,992082.5543
,,57.57575757575758,992082.5543
,,58.58585858585859,992082.5543
,,59.5959595959596,992082.5543
,,60.60606060606061,992082.5543
,,61.61616161616162,992082.5543
,,62.62626262626263,992082.5543
,,63.63636363636364,992082.5543
,,64.64646464646465,992082.5543
,,65.65656565656566,992082.5543
,,66.66666666666667,992082.5543
,,67.67676767676768,992082.5543
,,68.68686868686869,992082.5543
,,69.6969696969697,992082.5543
,,70.70707070707071,992082.5543
,,71.71717171717172,992082.5543
,,72.72727272727273,992082.5543
,,73.73737373737374,992082.5543
,,74.74747474747475,992082.5543
,,75.75757575757576,992082.5543
,,76.76767676767678,992082.5543
,,77.77777777777779,992082.5543
,,78.7878787878788,992082.5543
,,79.7979797979798,992082.5543
,,80.80808080808082,992082.5543
,,81.81818181818183,992082.5543
,,82.82828282828284,992082.5543
,,83.83838383838385,992082.5543
,,84.84848484848486,992082.5543
,,85.85858585858587,992082.5543
,,86.86868686868688,992082.5543
,,87.87878787878789,992082.5543
,,88.8888888888889,992082.5543
,,89.89898989898991,992082.5543
,,90.90909090909092,992082.5543
,,91.91919191919193,992082.5543
,,92.92929292929294,992082.5543
,,93.93939393939395,992082.5543
,,94.94949494949496,992082.5543
,,95.95959595959597,992082.5543
,,96.96969696969697,992082.5543
,,97.97979797979798,992082.5543
,,98.98989898989899,992082.5543
,,100.0,992082.5543
