Prediction Frame,Calculated Prediction Heatflux,Groundtruth Frame,Groundtruth Heatflux
0.0,1316273.8507014108,0.0,1300027.6277
7.0,1304478.98524948,1.0101010101010102,1300027.6277
14.0,1300621.8032681756,2.0202020202020203,1300027.6277
21.0,1302654.460219712,3.0303030303030303,1300027.6277
29.0,1302914.5088903948,4.040404040404041,1300027.6277
36.0,1303346.270270921,5.050505050505051,1300027.6277
43.0,1303583.5375622294,6.0606060606060606,1300027.6277
50.0,1303739.2878089733,7.070707070707071,1300027.6277
57.0,1303811.3513559743,8.080808080808081,1300027.6277
64.0,1303826.693917594,9.090909090909092,1300027.6277
71.0,1303797.7135234238,10.101010101010102,1300027.6277
79.0,1303748.8962819069,11.111111111111112,1300027.6277
86.0,1303696.6695822524,12.121212121212121,1300027.6277
93.0,1303640.2585476108,13.131313131313131,1300027.6277
100.0,1303570.2096804185,14.141414141414142,1300027.6277
,,15.151515151515152,1300027.6277
,,16.161616161616163,1300027.6277
,,17.171717171717173,1300027.6277
,,18.181818181818183,1300027.6277
,,19.191919191919194,1300027.6277
,,20.202020202020204,1300027.6277
,,21.212121212121215,1300027.6277
,,22.222222222222225,1300027.6277
,,23.232323232323235,1300027.6277
,,24.242424242424242,1300027.6277
,,25.252525252525253,1300027.6277
,,26.262626262626263,1300027.6277
,,27.272727272727273,1300027.6277
,,28.282828282828284,1300027.6277
,,29.292929292929294,1300027.6277
,,30.303030303030305,1300027.6277
,,31.313131313131315,1300027.6277
,,32.323232323232325,1300027.6277
,,33.333333333333336,1300027.6277
,,34.343434343434346,1300027.6277
,,35.35353535353536,1300027.6277
,,36.36363636363637,1300027.6277
,,37.37373737373738,1300027.6277
,,38.38383838383839,1300027.6277
,,39.3939393939394,1300027.6277
,,40.40404040404041,1300027.6277
,,41.41414141414142,1300027.6277
,,42.42424242424243,1300027.6277
,,43.43434343434344,1300027.6277
,,44.44444444444445,1300027.6277
,,45.45454545454546,1300027.6277
,,46.46464646464647,1300027.6277
,,47.47474747474748,1300027.6277
,,48.484848484848484,1300027.6277
,,49.494949494949495,1300027.6277
,,50.505050505050505,1300027.6277
,,51.515151515151516,1300027.6277
,,52.525252525252526,1300027.6277
,,53.535353535353536,1300027.6277
,,54.54545454545455,1300027.6277
,,55.55555555555556,1300027.6277
,,56.56565656565657,1300027.6277
,,57.57575757575758,1300027.6277
,,58.58585858585859,1300027.6277
,,59.5959595959596,1300027.6277
,,60.60606060606061,1300027.6277
,,61.61616161616162,1300027.6277
,,62.62626262626263,1300027.6277
,,63.63636363636364,1300027.6277
,,64.64646464646465,1300027.6277
,,65.65656565656566,1300027.6277
,,66.66666666666667,1300027.6277
,,67.67676767676768,1300027.6277
,,68.68686868686869,1300027.6277
,,69.6969696969697,1300027.6277
,,70.70707070707071,1300027.6277
,,71.71717171717172,1300027.6277
,,72.72727272727273,1300027.6277
,,73.73737373737374,1300027.6277
,,74.74747474747475,1300027.6277
,,75.75757575757576,1300027.6277
,,76.76767676767678,1300027.6277
,,77.77777777777779,1300027.6277
,,78.7878787878788,1300027.6277
,,79.7979797979798,1300027.6277
,,80.80808080808082,1300027.6277
,,81.81818181818183,1300027.6277
,,82.82828282828284,1300027.6277
,,83.83838383838385,1300027.6277
,,84.84848484848486,1300027.6277
,,85.85858585858587,1300027.6277
,,86.86868686868688,1300027.6277
,,87.87878787878789,1300027.6277
,,88.8888888888889,1300027.6277
,,89.89898989898991,1300027.6277
,,90.90909090909092,1300027.6277
,,91.91919191919193,1300027.6277
,,92.92929292929294,1300027.6277
,,93.93939393939395,1300027.6277
,,94.94949494949496,1300027.6277
,,95.95959595959597,1300027.6277
,,96.96969696969697,1300027.6277
,,97.97979797979798,1300027.6277
,,98.98989898989899,1300027.6277
,,100.0,1300027.6277
