Prediction Frame,Calculated Prediction Heatflux,Groundtruth Frame,Groundtruth Heatflux
0.0,563.7775858182786,0.0,555.1378371036844
11.0,634716.510036424,1.0101010101010102,9653.9526977879
22.0,1675588.680516746,2.0202020202020203,29815.937811901094
33.0,1958451.5776778504,3.0303030303030303,60815.713291064836
44.0,1071358.2484809847,4.040404040404041,102306.74947077839
56.0,74798.72380128165,5.050505050505051,153825.24057745538
67.0,286049.84028613265,6.0606060606060606,214795.28936142777
78.0,1329412.2322676945,7.070707070707071,284535.34473972477
89.0,2000984.8897106352,8.080808080808081,362265.82048570644
100.0,1465238.5595049814,9.090909090909092,447117.8098003601
,,10.101010101010102,538142.7983497947
,,11.111111111111112,634323.2671921581
,,12.121212121212121,734584.0670696173
,,13.131313131313131,837804.436918356
,,14.141414141414142,942830.5322481996
,,15.151515151515152,1048488.3233439036
,,16.161616161616163,1153596.7191061194
,,17.171717171717173,1256980.7698277389
,,18.181818181818183,1357484.8013189496
,,19.191919191919194,1453985.3335617427
,,20.202020202020204,1545403.6394832502
,,21.212121212121215,1630717.803460197
,,22.222222222222225,1708974.1447589945
,,23.232323232323235,1779297.878215036
,,24.242424242424242,1840902.8929812503
,,25.252525252525253,1893100.5400345875
,,26.262626262626263,1935307.330209675
,,27.272727272727273,1967051.4567074971
,,28.282828282828284,1987978.0691675234
,,29.292929292929294,1997853.2403472879
,,30.303030303030305,1996566.5810680655
,,31.313131313131315,1984132.4741955851
,,32.323232323232325,1960689.9138617816
,,33.333333333333336,1926500.951724834
,,34.343434343434346,1881947.7676359126
,,35.35353535353536,1827528.397458056
,,36.36363636363637,1763851.165793573
,,37.37373737373738,1691627.885853494
,,38.38383838383839,1611665.9024840277
,,39.3939393939394,1524859.0672967266
,,40.40404040404041,1432177.746786472
,,41.41414141414142,1334657.9751311052
,,42.42424242424243,1233389.8729276822
,,43.43434343434344,1129505.4613259924
,,44.44444444444445,1024166.0077785469
,,45.45454545454546,918549.0448620269
,,46.46464646464647,813835.2072797245
,,47.47474747474748,711195.0341870084
,,48.484848484848484,611775.8843694271
,,49.494949494949495,516689.1105415943
,,50.505050505050505,426997.6361383969
,,51.515151515151516,343704.0734708281
,,52.525252525252526,267739.51606715214
,,53.535353535353536,199953.13048370986
,,54.54545454545455,141102.66393288714
,,55.55555555555556,91845.97383830557
,,56.56565656565657,52733.67400374345
,,57.57575757575758,24202.979600279592
,,58.58585858585859,6572.819775198819
,,59.5959595959596,40.27251615875866
,,60.60606060606061,4678.361623332719
,,61.61616161616162,20435.240415982553
,,62.62626262626263,47134.771298360894
,,63.63636363636364,84478.49470629485
,,64.64646464646465,132048.96542465815
,,65.65656565656566,189314.4189808584
,,66.66666666666667,255634.7159512532
,,67.67676767676768,330268.49773232
,,68.68686868686869,412381.47378610505
,,69.6969696969697,501055.74772131944
,,70.70707070707071,595300.0779589
,,71.71717171717172,694060.9582836095
,,72.72727272727273,796234.3944182069
,,73.73737373737374,900678.2449762711
,,74.74747474747475,1006224.9888408377
,,75.75757575757576,1111694.7762492837
,,76.76767676767678,1215908.6176934387
,,77.77777777777779,1317701.5632033842
,,78.7878787878788,1415935.7246908708
,,79.7979797979798,1509512.995782658
,,80.80808080808082,1597387.3269556426
,,81.81818181818183,1678576.4187567183
,,82.82828282828284,1752172.702395209
,,83.83838383838385,1817353.4849617756
,,84.84848484848486,1873390.1458659298
,,85.85858585858587,1919656.281690141
,,86.86868686868688,1955634.7084136514
,,87.87878787878789,1980923.2427319363
,,88.8888888888889,1995239.1978455724
,,89.89898989898991,1998422.5434625386
,,90.90909090909092,1990437.69468999
,,91.91919191919193,1971373.9098184616
,,92.92929292929294,1941444.292551884
,,93.93939393939395,1900983.409836944
,,94.94949494949496,1850443.5519207763
,,95.95959595959597,1790389.676443779
,,96.96969696969697,1721493.0930847912
,,97.97979797979798,1644523.959354554
,,98.98989898989899,1560342.6714229183
,,100.0,1469890.2462170466
