Frame,Calculated Prediction Heatflux,Groundtruth Heatflux
0,563.7775858182786,555.1378371036844
1,634716.510036424,623523.7761220476
2,1675588.680516746,1692409.1568616228
3,1958451.5776778504,1938950.2217663066
4,1071358.2484809847,1070619.4112660596
5,74798.72380128165,73358.24131975067
6,286049.84028613265,279383.8803457654
7,1329412.2322676945,1339657.4414659748
8,2000984.8897106352,1996136.0204240764
9,1465238.5595049814,1469890.2462170466
