Frame,Calculated Prediction Heatflux,Groundtruth Heatflux
0,1302359.2321400628,1300027.6277
1,1300275.4333164613,1300027.6277
2,1296067.9295115105,1300027.6277
3,1290530.737032865,1300027.6277
4,1290064.6486079071,1300027.6277
5,1290861.7644229594,1300027.6277
6,1292374.7114715546,1300027.6277
7,1293569.1066473315,1300027.6277
8,1294470.520886323,1300027.6277
9,1295131.1034004982,1300027.6277
