Prediction Frame,Prediction 1,Groundtruth Frame,Groundtruth 1
0.0,122470.1275160746,0.0,121309.2698
11.0,122700.13277274759,1.0101010101010102,121309.2698
22.0,122750.35649210787,2.0202020202020203,121309.2698
33.0,122197.72204484236,3.0303030303030303,121309.2698
44.0,121882.22222184113,4.040404040404041,121309.2698
56.0,121480.08539835404,5.050505050505051,121309.2698
67.0,121324.94573198576,6.0606060606060606,121309.2698
78.0,121517.61219125353,7.070707070707071,121309.2698
89.0,121601.63171601116,8.080808080808081,121309.2698
100.0,121585.89793925792,9.090909090909092,121309.2698
,,10.101010101010102,121309.2698
,,11.111111111111112,121309.2698
,,12.121212121212121,121309.2698
,,13.131313131313131,121309.2698
,,14.141414141414142,121309.2698
,,15.151515151515152,121309.2698
,,16.161616161616163,121309.2698
,,17.171717171717173,121309.2698
,,18.181818181818183,121309.2698
,,19.191919191919194,121309.2698
,,20.202020202020204,121309.2698
,,21.212121212121215,121309.2698
,,22.222222222222225,121309.2698
,,23.232323232323235,121309.2698
,,24.242424242424242,121309.2698
,,25.252525252525253,121309.2698
,,26.262626262626263,121309.2698
,,27.272727272727273,121309.2698
,,28.282828282828284,121309.2698
,,29.292929292929294,121309.2698
,,30.303030303030305,121309.2698
,,31.313131313131315,121309.2698
,,32.323232323232325,121309.2698
,,33.333333333333336,121309.2698
,,34.343434343434346,121309.2698
,,35.35353535353536,121309.2698
,,36.36363636363637,121309.2698
,,37.37373737373738,121309.2698
,,38.38383838383839,121309.2698
,,39.3939393939394,121309.2698
,,40.40404040404041,121309.2698
,,41.41414141414142,121309.2698
,,42.42424242424243,121309.2698
,,43.43434343434344,121309.2698
,,44.44444444444445,121309.2698
,,45.45454545454546,121309.2698
,,46.46464646464647,121309.2698
,,47.47474747474748,121309.2698
,,48.484848484848484,121309.2698
,,49.494949494949495,121309.2698
,,50.505050505050505,121309.2698
,,51.515151515151516,121309.2698
,,52.525252525252526,121309.2698
,,53.535353535353536,121309.2698
,,54.54545454545455,121309.2698
,,55.55555555555556,121309.2698
,,56.56565656565657,121309.2698
,,57.57575757575758,121309.2698
,,58.58585858585859,121309.2698
,,59.5959595959596,121309.2698
,,60.60606060606061,121309.2698
,,61.61616161616162,121309.2698
,,62.62626262626263,121309.2698
,,63.63636363636364,121309.2698
,,64.64646464646465,121309.2698
,,65.65656565656566,121309.2698
,,66.66666666666667,121309.2698
,,67.67676767676768,121309.2698
,,68.68686868686869,121309.2698
,,69.6969696969697,121309.2698
,,70.70707070707071,121309.2698
,,71.71717171717172,121309.2698
,,72.72727272727273,121309.2698
,,73.73737373737374,121309.2698
,,74.74747474747475,121309.2698
,,75.75757575757576,121309.2698
,,76.76767676767678,121309.2698
,,77.77777777777779,121309.2698
,,78.7878787878788,121309.2698
,,79.7979797979798,121309.2698
,,80.80808080808082,121309.2698
,,81.81818181818183,121309.2698
,,82.82828282828284,121309.2698
,,83.83838383838385,121309.2698
,,84.84848484848486,121309.2698
,,85.85858585858587,121309.2698
,,86.86868686868688,121309.2698
,,87.87878787878789,121309.2698
,,88.8888888888889,121309.2698
,,89.89898989898991,121309.2698
,,90.90909090909092,121309.2698
,,91.91919191919193,121309.2698
,,92.92929292929294,121309.2698
,,93.93939393939395,121309.2698
,,94.94949494949496,121309.2698
,,95.95959595959597,121309.2698
,,96.96969696969697,121309.2698
,,97.97979797979798,121309.2698
,,98.98989898989899,121309.2698
,,100.0,121309.2698
