Prediction Frame,Prediction 3,Groundtruth Frame,Groundtruth 3
0.0,545.7867432086811,0.0,546.0108140232041
11.0,611613.3118642984,1.0101010101010102,9495.23202842963
22.0,1656738.6715569443,2.0202020202020203,29325.73387624987
33.0,1909750.2352055868,3.0303030303030303,59815.841940621496
44.0,1052968.8367271044,4.040404040404041,100624.72385244467
56.0,72123.09044222558,5.050505050505051,151296.19927044434
67.0,273653.1693262225,6.0606060606060606,211263.83927360608
78.0,1302043.0851381144,7.070707070707071,279857.2981626479
89.0,1961707.6580042173,8.080808080808081,356309.8068907511
100.0,1446269.4158137224,9.090909090909092,439766.74435856065
,,10.101010101010102,529295.1907595965
,,11.111111111111112,623894.3561844137
,,12.121212121212121,722506.767907808
,,13.131313131313131,824030.0913024506
,,14.141414141414142,927329.452239381
,,15.151515151515152,1031250.1232299224
,,16.161616161616163,1134630.4314975345
,,17.171717171717173,1236314.7446872666
,,18.181818181818183,1335166.3890526178
,,19.191919191919194,1430080.3557144024
,,20.202020202020204,1519995.6529552499
,,21.212121212121215,1603907.1664701477
,,22.222222222222225,1680876.8949937122
,,23.232323232323235,1750044.4357072238
,,24.242424242424242,1810636.6022147394
,,25.252525252525253,1861976.067574155
,,26.262626262626263,1903488.9357674636
,,27.272727272727273,1934711.1569728474
,,28.282828282828284,1955293.7149257683
,,29.292929292929294,1965006.528382355
,,30.303030303030305,1963741.0230727477
,,31.313131313131315,1951511.3453939306
,,32.323232323232325,1928454.2042748393
,,33.333333333333336,1894827.3429814437
,,34.343434343434346,1851006.6579446725
,,35.35353535353536,1797481.9968182347
,,36.36363636363637,1734851.6827375698
,,37.37373737373738,1663815.8259902685
,,38.38383838383839,1585168.4978631588
,,39.3939393939394,1499788.854150387
,,40.40404040404041,1408631.3075479697
,,41.41414141414142,1312714.8587922838
,,42.42424242424243,1213111.7058039159
,,43.43434343434344,1110935.2581690555
,,44.44444444444445,1007327.6909380519
,,45.45454545454546,903447.176870461
,,46.46464646464647,800454.9398503754
,,47.47474747474748,699502.2741949027
,,48.484848484848484,601717.6749598703
,,49.494949494949495,508194.22310610535
,,50.505050505050505,419977.3665406626
,,51.515151515151516,338053.2336220974
,,52.525252525252526,263337.60976678773
,,53.535353535353536,196665.70038081438
,,54.54545454545455,138782.79455204983
,,55.55555555555556,90335.93386796163
,,56.56565656565657,51866.67948889488
,,57.57575757575758,23805.058329803636
,,58.58585858585859,6464.756022770307
,,59.5959595959596,39.61039558262564
,,60.60606060606061,4601.444663865375
,,61.61616161616162,20099.264558335766
,,62.62626262626263,46359.82836206141
,,63.63636363636364,83089.58348558564
,,64.64646464646465,129877.94793199329
,,65.65656565656566,186201.89997020678
,,66.66666666666667,251431.82471103955
,,67.67676767676768,324838.5522303077
,,68.68686868686869,405601.50856364856
,,69.6969696969697,492817.8884574852
,,70.70707070707071,585512.7473389497
,,71.71717171717172,682649.8996920965
,,72.72727272727273,783143.5020133768
,,73.73737373737374,885870.190866814
,,74.74747474747475,989681.6403541254
,,75.75757575757576,1093417.3986266744
,,76.76767676767678,1195917.859946832
,,77.77777777777779,1296037.227291123
,,78.7878787878788,1392656.3205932532
,,79.7979797979798,1484695.0874506242
,,80.80808080808082,1571124.6764439235
,,81.81818181818183,1650978.9381087176
,,82.82828282828284,1723365.2249959237
,,83.83838383838385,1787474.370093143
,,84.84848484848486,1842589.73206351
,,85.85858585858587,1888095.2061902261
,,86.86868686868688,1923482.1114767902
,,87.87878787878789,1948354.8769157636
,,88.8888888888889,1962435.4633623604
,,89.89898989898991,1965566.4715831387
,,90.90909090909092,1957712.9017365985
,,91.91919191919193,1938962.544617415
,,92.92929292929294,1909525.0002907922
,,93.93939393939395,1869729.3350871012
,,94.94949494949496,1820020.403147975
,,95.95959595959597,1760953.8736433114
,,96.96969696969697,1693190.0192472213
,,97.97979797979798,1617486.335308175
,,98.98989898989899,1534689.072219649
,,100.0,1445723.775646284
