loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,lr
0.242509454488754,0.492452532052994,0.091152258217335,0.301914304494858,0.001000000047497
0.059232376515865,0.243376985192299,0.036088328808546,0.189969286322594,0.001000000047497
0.033383987843990,0.182712852954865,0.024111486971378,0.155278727412224,0.001000000047497
0.025460990145802,0.159565001726151,0.019230019301176,0.138672336935997,0.001000000047497
0.019220681861043,0.138638675212860,0.014715323224664,0.121306724846363,0.001000000047497
0.016359239816666,0.127903237938881,0.011859904043376,0.108903184533119,0.001000000047497
0.011712530627847,0.108224444091320,0.008985763415694,0.094793260097504,0.001000000047497
0.009149040095508,0.095650613307953,0.008806640282273,0.093843705952168,0.001000000047497
0.008308743126690,0.091152302920818,0.006983953062445,0.083570048213005,0.001000000047497
0.009741191752255,0.098697483539581,0.009613493457437,0.098048426210880,0.001000000047497
0.006061720196158,0.077857054769993,0.004355060867965,0.065992884337902,0.001000000047497
0.005944928154349,0.077103361487389,0.011381470598280,0.106683969497681,0.001000000047497
0.005979898385704,0.077329799532890,0.007602114230394,0.087190106511116,0.001000000047497
0.005429903510958,0.073687881231308,0.009035338647664,0.095054388046265,0.001000000047497
0.005467930343002,0.073945455253124,0.004325271584094,0.065766796469688,0.001000000047497
0.002607816597447,0.051066786050797,0.001908509293571,0.043686490505934,0.000200000009499
0.002039076527581,0.045156128704548,0.001702967332676,0.041267026215792,0.000200000009499
0.001862362609245,0.043155100196600,0.001570552238263,0.039630193263292,0.000200000009499
0.001717251492664,0.041439730674028,0.001472378033213,0.038371577858925,0.000200000009499
0.001605352386832,0.040066845715046,0.001394730643369,0.037346091121435,0.000200000009499
0.001516432268545,0.038941401988268,0.001331985346042,0.036496374756098,0.000200000009499
0.001440719701350,0.037956815212965,0.001277422183193,0.035741042345762,0.000200000009499
0.001377286273055,0.037111803889275,0.001229574554600,0.035065289586782,0.000200000009499
0.001319983042777,0.036331575363874,0.001188333262689,0.034472208470106,0.000200000009499
0.001266847131774,0.035592794418335,0.001147908391431,0.033880796283484,0.000200000009499
0.001218884252012,0.034912526607513,0.001109011122026,0.033301815390587,0.000200000009499
0.001175445620902,0.034284770488739,0.001065697753802,0.032645028084517,0.000200000009499
0.001134304562584,0.033679436892271,0.001034305198118,0.032160617411137,0.000200000009499
0.001094796229154,0.033087704330683,0.000997871858999,0.031589105725288,0.000200000009499
0.001058202353306,0.032530020922422,0.000965299084783,0.031069263815880,0.000200000009499
0.001024286728352,0.032004479318857,0.000931840215344,0.030526056885719,0.000200000009499
0.000993737950921,0.031523607671261,0.000897597637959,0.029959931969643,0.000200000009499
0.000964867416769,0.031062318012118,0.000868666800670,0.029473155736923,0.000200000009499
0.000938263547141,0.030631085857749,0.000842413282953,0.029024358838797,0.000200000009499
0.000912619696464,0.030209597200155,0.000816973391920,0.028582746163011,0.000200000009499
0.000888736918569,0.029811689630151,0.000794748950284,0.028191292658448,0.000200000009499
0.000864999834448,0.029410881921649,0.000771811231971,0.027781490236521,0.000200000009499
0.000843847228680,0.029049050062895,0.000754518201575,0.027468493208289,0.000200000009499
0.000820882152766,0.028651038184762,0.000737774069421,0.027161994948983,0.000200000009499
0.000778987130616,0.027910338714719,0.000705406069756,0.026559479534626,0.000040000002627
0.000768938916735,0.027729745954275,0.000701629556715,0.026488289237022,0.000040000002627
0.000762337178458,0.027610452845693,0.000697297626175,0.026406394317746,0.000040000002627
0.000756550056394,0.027505457401276,0.000693251728080,0.026329675689340,0.000040000002627
0.000751268700697,0.027409283444285,0.000688876840286,0.026246462017298,0.000040000002627
0.000743996642996,0.027276299893856,0.000682366138790,0.026122137904167,0.000008000000889
0.000741198949981,0.027224969118834,0.000681265373714,0.026101060211658,0.000008000000889
0.000740024843253,0.027203394100070,0.000680141965859,0.026079531759024,0.000008000000889
0.000738964125048,0.027183895930648,0.000679063261487,0.026058841496706,0.000008000000889
0.000737151538488,0.027150534093380,0.000679873919580,0.026074392721057,0.000001600000132
